Index,Pitch,Roll,TurnRate
178,5.22,-4.80,-10.30
194,5.18,-5.43,-4.76
207,5.14,-6.55,-3.25
220,4.47,-7.69,-1.23
236,3.37,-8.23,-4.25
249,3.25,-7.25,-12.32
262,2.84,-6.16,-6.77
275,2.84,-5.41,-10.02
291,2.66,-4.50,-8.90
304,2.63,-3.44,-10.69
317,2.19,-3.11,-7.73
333,2.53,-3.35,-6.49
346,2.26,-3.98,-0.95
359,2.09,-4.11,9.29
372,1.71,-3.60,9.96
388,1.43,-2.53,3.53
401,1.23,-1.67,2.86
414,2.37,-2.26,0.00
430,2.41,-3.01,-4.09
443,1.71,-3.66,-7.84
456,0.77,-3.65,-7.17
469,0.90,-3.50,-8.29
485,0.50,-2.90,-10.64
498,0.96,-2.76,-9.85
511,1.93,-2.56,-8.45
526,2.69,-2.95,-9.74
552,3.07,-3.79,-7.84
575,3.78,-4.94,-10.69
598,4.52,-6.12,-11.98
621,4.99,-7.25,-9.24
646,4.73,-8.51,-10.13
669,4.94,-10.06,-7.89
692,4.59,-11.13,-7.11
714,3.18,-12.56,-9.68
739,3.13,-12.61,-10.36
761,2.63,-12.76,-11.92
783,2.25,-12.54,-7.73
814,1.85,-12.91,-11.36
841,0.72,-11.42,-10.02
862,0.48,-10.18,-11.64
885,1.49,-10.26,-13.88
907,0.97,-9.77,-10.69
931,3.01,-8.36,-10.02
953,4.03,-9.18,-10.52
975,4.47,-6.64,-11.76
997,5.81,-6.16,-6.55
1021,4.54,-6.14,-9.57
1043,3.11,-5.73,-12.99
1064,2.87,-2.14,-10.75
1088,4.05,-0.47,-8.29
1110,6.31,-3.70,-8.06
1132,7.47,-6.36,-12.82
1156,7.40,-8.99,-9.68
1177,8.62,-7.44,-10.69
1199,7.81,-7.60,-10.08
1225,8.27,-9.28,-9.68
1246,7.68,-9.13,-11.25
1271,7.45,-8.82,-10.41
1292,7.04,-9.45,-8.62
1314,7.52,-9.45,-10.75
1338,6.95,-7.86,-8.85
1359,6.86,-5.12,-13.04
1381,6.36,-6.29,-5.82
1405,6.58,-6.07,-12.04
1427,6.47,-7.82,-12.15
1448,6.27,-8.33,-10.52
1472,5.61,-7.52,-6.77
1493,6.96,-4.48,-10.97
1514,6.71,-3.69,-8.40
1538,7.44,-4.68,-8.96
1560,8.45,-5.47,-9.40
1581,9.21,-5.40,-9.12
1606,9.77,-7.14,-10.47
1627,9.24,-9.84,-13.32
1652,7.57,-7.83,-7.17
1673,8.87,-6.33,-10.41
1694,8.86,-7.60,-10.47
1724,8.51,-7.69,-7.78
1743,8.93,-7.80,-7.28
1764,9.47,-6.36,-10.86
1788,9.76,-6.74,-9.24
1809,9.29,-7.74,-8.29
1830,9.44,-11.29,-11.25
1854,7.61,-13.56,-10.52
1876,5.94,-13.36,-9.24
1897,4.11,-13.41,-11.70
1921,2.84,-12.48,-11.59
1942,1.40,-12.98,-9.85
1964,0.09,-13.20,-11.36
1988,-0.84,-10.97,-12.09
